Name,Attacking,Crossing,Finishing,Heading Accuracy,Short Passing,Volleys,Skill,Dribbling,Curve,FK Accuracy,Long Passing,Ball Control
Pablo Ceppelini,314,71,59,42,75,67,356,75,74,61,70,76
Luciano Abecasis,290,70,41,59,71,49,308,69,73,41,60,65
Felix Wiedwald,84,9,11,8,41,15,98,14,7,13,32,32
Tae Hwan Kim,299,67,58,56,65,53,302,66,61,50,60,65
Antonin Bobichon,330,65,67,55,75,68,370,75,76,77,69,73
Andreas Linde,75,16,13,12,22,12,81,20,13,12,18,18
Corentin Jean,339,73,67,61,69,69,333,72,68,59,64,70
Alex Pritchard,312,70,65,42,72,63,365,71,75,75,69,75
Marvin Zeegelaar,318,75,56,60,69,58,329,74,68,52,59,76
Massimo Luongo,288,51,63,59,69,46,299,69,49,46,64,71
Pedro Manuel Mineiro Mendes,329,51,72,70,64,72,308,65,68,60,48,67
Mohamed Fares,316,75,59,58,66,58,327,75,69,48,60,75
Rômulo Roberto Calsede Caiado,328,50,74,69,66,69,311,66,60,55,61,69
Willard Katsande,319,55,59,67,70,68,295,67,51,42,66,69
Tanguy Kouassi,247,37,32,72,69,37,265,62,41,31,66,65
Carlos Alberto Carvalho Silva Jr.,331,64,70,68,67,62,299,72,47,42,64,74
Dominic Iorfa,261,63,45,66,63,24,244,60,37,24,60,63
Kyogo Furuhashi,330,66,73,52,68,71,338,67,68,59,75,69
Julio Cáceres,256,68,35,61,64,28,265,52,37,46,62,68
Romario Benzar,298,69,51,61,68,49,320,60,66,68,63,63
Niko Gießelmann,306,72,45,62,68,59,334,64,66,70,64,70
Aatif Chahechouhe,343,69,69,58,73,74,327,74,60,51,68,74
Ilya Kutepov,260,34,35,80,68,43,258,38,40,55,71,54
Juan Carlos Pérez López,328,72,55,56,70,75,333,69,72,50,69,73
Franco Di Santo,345,62,66,71,73,73,324,71,69,49,63,72
Jonathan Cabral,223,33,23,82,54,31,204,44,31,28,57,44
Fabián Estoyanoff,295,69,59,49,69,49,342,65,69,73,65,70
Ronald Matarrita,261,65,38,59,67,32,316,70,60,54,63,69
Maximiliano Romero,317,45,73,69,55,75,253,63,41,39,43,67
Juan José Nieto Zarzoso,305,64,60,56,67,58,317,70,59,52,65,71
Denis Odoi,292,65,45,61,72,49,324,72,59,59,64,70
Janusz Gol,318,64,62,69,72,51,326,70,58,63,68,67
Marcel Sobottka,288,57,54,60,71,46,289,65,46,44,67,67
Joel Obi,330,66,65,63,74,62,326,73,58,56,67,72
Jonathan Mensah,264,41,28,69,71,55,244,48,38,31,70,57
Bruno Martella,286,76,50,55,70,35,336,67,69,60,71,69
Fabio Depaoli,305,75,50,59,73,48,331,72,72,44,71,72
Leonardo Castro,334,53,78,65,74,64,264,65,45,32,57,65
Bart Schenkeveld,239,54,34,62,65,24,280,62,53,33,66,66
Cristian Lucchetti,111,23,13,23,34,18,148,24,27,30,32,35
Shogo Taniguchi,269,50,35,72,73,39,253,55,35,32,67,64
Ahmad Benali,289,59,58,39,75,58,349,78,58,65,72,76
Kamil Jóźwiak,288,66,64,41,68,49,295,72,61,34,60,68
Gideon Jung,257,45,40,70,66,36,278,59,38,50,66,65
Alexis Canelo,324,70,77,60,67,50,292,71,51,42,58,70
Sven van Beek,239,42,23,75,70,29,233,45,30,26,73,59
Soner Aydoğdu,311,56,58,63,76,58,380,76,79,75,75,75
Joe Williams,301,60,53,54,72,62,321,69,58,54,73,67
Nicolás Fernández,332,59,74,69,65,65,300,74,57,47,50,72
Aitor Cantalapiedra,308,69,72,42,67,58,355,74,78,72,59,72
Jelle Vossen,355,65,75,67,70,78,349,66,70,70,72,71
Rob Schoofs,310,66,59,49,74,62,363,71,72,74,73,73
Iván Franco,291,36,69,64,68,54,302,70,62,59,36,75
Nicușor Bancu,312,72,62,54,69,55,324,69,73,45,66,71
Ismael Tajouri-Shradi,309,65,71,45,66,62,341,73,71,66,57,74
Elvis Rexhbeçaj,305,70,51,58,76,50,310,72,49,41,74,74
Anthony Weber,226,32,28,74,67,25,264,46,53,37,68,60
Otar Kiteishvili,324,64,66,63,71,60,326,74,58,53,69,72
Marcel Schuhen,96,19,19,14,30,14,112,22,15,20,28,27
Matías Melluso,277,69,41,63,66,38,288,68,55,33,65,67
Matías Britos,338,60,66,75,66,71,330,70,69,55,67,69
Marco Calderoni,264,68,41,61,64,30,260,59,43,37,59,62
Mattia Destro,342,56,74,72,68,72,305,71,68,51,42,73
Slobodan Rajković,219,39,20,75,63,22,245,51,36,40,59,59
André Filipe Coelho Pereira,339,55,73,72,68,71,295,65,52,38,70,70
Johan Larsson,309,68,59,58,67,57,335,65,69,70,65,66
Seung Dae Kim,316,62,68,61,70,55,323,70,57,58,66,72
Vladimir Hernández,299,65,66,40,68,60,298,71,49,45,63,70
Josh Cullen,280,59,50,50,73,48,331,68,63,55,72,73
Benoît Poulain,231,43,23,74,68,23,231,38,35,36,66,56
Oliver Sorg,297,68,40,58,70,61,309,68,59,50,62,70
Young Gwon Kim,271,45,39,70,70,47,301,56,56,58,69,62
Japhet Tanganga,233,60,15,66,65,27,231,62,25,29,51,64
Dino Hotić,276,70,54,44,69,39,370,68,76,73,75,78
Brown Ideye,340,60,71,70,67,72,288,65,58,49,50,66
Hatem Abd Elhamed,287,71,38,67,67,44,315,69,64,47,65,70
Elias Cobbaut,279,73,26,70,68,42,301,67,62,34,67,71
Maximiliano Olivera,285,74,50,55,68,38,339,74,65,68,58,74
Nikolay Rasskazov,284,65,45,60,75,39,286,73,40,35,67,71
Jin Su Kim,246,69,26,60,68,23,328,68,66,68,62,64
Alberto Cerri,323,40,75,75,65,68,284,68,64,34,45,73
Diego Polenta,237,59,30,62,65,21,271,52,33,56,67,63
Yassin Ayoub,330,78,62,52,72,66,363,76,74,69,70,74
Carlos Cáceda,61,10,8,12,23,8,72,11,11,12,21,17
Pablo Insua Blanco,250,37,36,72,71,34,236,44,42,23,62,65
Marcelo Cirino da Silva,334,66,72,71,58,67,285,70,57,43,46,69
Álejandro Gallar Falguero,329,72,73,55,71,58,369,74,76,80,70,69
Olivier Boscagli,259,68,23,67,72,29,287,69,52,30,65,71
Ataru Esaka,338,65,72,69,67,65,336,70,67,62,69,68
Fredrik Andre Bjørkan,270,64,49,56,62,39,267,63,56,32,54,62
Yoane Wissa,316,62,72,54,63,65,288,72,46,41,60,69
Adrian Grbic,319,52,76,68,56,67,312,68,58,72,42,72
Xavier Torres Buigues,297,61,49,58,72,57,318,58,58,65,68,69
Osvaldo Martínez,327,65,66,51,74,71,366,70,75,71,73,77
Ludovic Baal,308,72,44,65,71,56,300,62,57,51,62,68
Cristian Penilla,324,68,64,63,70,59,329,72,68,60,60,69
Edigar Junio Teixeira Lima,331,59,74,63,70,65,318,72,60,60,54,72
Jorge Villafaña,311,73,54,61,70,53,318,67,61,53,70,67
Mert Müldür,287,58,46,72,69,42,284,66,46,37,60,75
Leandro Desábato,283,58,47,53,71,54,318,60,67,52,73,66
Christian Clemens,340,71,67,68,71,63,349,70,75,69,64,71
Tudor Băluță,192,22,35,41,73,21,256,35,21,64,68,68
Luca Rossettini,228,35,29,72,58,34,240,50,42,36,58,54
Gaëtan Belaud,287,68,42,59,70,48,317,70,67,53,58,69
Miguel Barbieri,219,28,27,74,57,33,211,45,32,32,45,57
Nemanja Nikolić,332,55,73,71,65,68,317,65,71,67,42,72
Cyrus Christie,287,67,48,64,67,41,293,71,60,35,60,67
Kevin Wimmer,232,44,21,70,70,27,250,63,24,28,69,66
Stipe Perica,319,44,74,77,58,66,260,66,44,44,38,68
Jairo Ralph Resende dos Santos,320,74,62,46,76,62,365,76,74,75,63,77
Ricardo Lopes Pereira,329,69,74,55,66,65,336,73,64,66,62,71
Gil Bastião Dias,317,65,64,57,71,60,332,74,59,63,61,75
Pierre-Yves Hamel,334,57,78,78,64,57,262,67,42,33,51,69
Per Karlsson,219,35,32,66,54,32,206,42,34,29,52,49
Damir Kreilach,342,56,70,72,74,70,360,70,70,76,73,71
Luiz Fernando da Silva Monte,318,29,74,82,66,67,275,64,60,32,54,65
Macario André Louro Padilha,316,77,61,56,71,51,335,75,55,56,72,77
Alberto Guitián Ceballos,245,35,36,70,73,31,265,58,44,34,66,63
Robert Žulj,346,68,69,66,74,69,356,75,68,68,70,75
Kévin Zohi,329,65,69,66,67,62,310,79,60,45,55,71
Onur Kaya,323,80,62,35,73,73,366,70,78,77,70,71
Sanjin Prcić,308,71,59,46,75,57,356,73,69,69,73,72
Raphael William Paneira Rochedo,331,69,62,64,73,63,318,77,44,57,64,76
Fabian Holland,266,68,38,63,63,34,322,66,64,59,64,69
Thamsanqa Mkhize,286,64,53,61,68,40,278,69,44,29,65,71
Reinier Jesus Carvalho,322,58,68,59,67,70,335,77,72,55,57,74
Gabriel Iancu,338,68,73,58,70,69,343,70,68,69,64,72
Luis Reyes,277,71,34,62,66,44,295,68,50,46,62,69
Vítor Tormena de Farias,257,66,28,70,67,26,254,58,40,25,63,68
Youness Mokhtar,319,66,64,54,71,64,358,73,75,74,65,71
Brecht Dejaegere,315,71,51,54,71,68,348,74,64,68,69,73
Emrah Başsan,324,71,66,51,70,66,357,73,72,72,67,73
Felipe Avenatti,334,43,71,80,75,65,355,71,65,70,75,74
Adrián Guto Negrão Bastos,319,73,58,42,76,70,363,75,68,74,71,75
Gabriel Fuentes,261,62,39,55,68,37,256,68,43,25,53,67
Gideon Mensah,310,71,53,62,68,56,318,71,66,49,61,71
Jaïro Riedewald,302,65,46,69,77,45,282,66,35,35,75,71
Bernardo Medina,91,17,12,20,25,17,87,14,14,15,22,22
Prince-Désir Gouano,213,32,20,74,64,23,223,45,28,26,67,57
Taras Romanczuk,296,60,65,66,70,35,291,61,60,43,67,60
Luis Claudinei Peixoto Álvares,334,74,66,67,68,59,345,74,68,66,65,72
Ahmed Hassan,313,30,72,76,63,72,291,68,66,44,46,67
Diogo Filipe Pinto Leite,229,29,30,75,63,32,219,50,35,20,51,63
Wesley Lautoa,233,54,29,65,69,16,248,45,38,33,69,63
Ocimar Almeida Júnior,289,51,62,69,76,31,295,70,42,37,72,74
Jorge Pietro Carvalho Porfírio,287,54,53,68,67,45,273,47,47,54,60,65
Thiago Cardozo,71,12,14,15,14,16,81,18,19,20,12,12
Bashkim Kadrii,319,62,72,58,63,64,327,73,68,64,49,73
Ethan Horvath,86,11,17,13,31,14,101,16,16,17,30,22
Koki Anzai,280,70,58,47,64,41,327,69,67,57,67,67
Ryan Gravenberch,322,60,64,58,77,63,352,78,66,56,76,76
Jan-Arie van der Heijden,306,61,54,74,75,42,361,67,77,70,73,74
Mimoun Mahi,335,66,72,56,68,73,354,78,71,68,60,77
Georges Mandjeck,280,48,49,69,72,42,301,66,51,48,68,68
Rafael Carrascal,272,63,57,49,72,31,328,59,57,65,74,73
Alex Alessandro Freitas Conceição,272,53,49,53,67,50,299,63,45,48,75,68
Pontus Wernbloom,318,55,65,77,70,51,286,65,53,32,68,68
Jesús Trindade,269,69,37,60,69,34,291,59,61,49,50,72
Zarek Valentin,278,65,40,61,68,44,290,67,55,30,70,68
Denis Vavro,241,26,37,73,69,36,235,52,25,30,65,63
Philipp Kühn,82,12,15,16,23,16,101,18,19,16,24,24
Antonio Bareiro,286,63,65,36,63,59,313,71,52,59,67,64
Awer Mabil,283,69,66,34,66,48,317,72,64,59,53,69
Mathieu Coutadeur,318,65,62,68,74,49,352,64,80,68,70,70
Mark-Anthony Kaye,302,60,55,68,75,44,308,72,56,37,70,73
Marlon Rodrigues Xavier,289,73,54,43,66,53,363,72,81,76,62,72
Noni Madueke,292,57,67,42,66,60,344,79,69,58,62,76
Kevin Long,227,38,29,74,60,26,236,53,38,32,55,58
Samir Caetano de Souza Santos,245,63,24,68,62,28,237,58,29,30,58,62
Antonino Barillà,329,69,60,61,74,65,343,65,67,65,70,76
Bart Nieuwkoop,269,67,34,65,68,35,295,64,46,45,70,70
Facundo Pellistri,300,67,60,50,67,56,323,74,59,62,58,70
Yassine Benzia,339,66,69,64,71,69,363,77,77,71,66,72
Samuel Piette,223,40,27,60,70,26,276,56,56,34,66,64
Jonathan Gradit,239,63,19,61,71,25,248,58,37,28,59,66
Hany Mukhtar,296,68,60,40,73,55,339,73,60,67,64,75
João Felipe Schmidt Urbano,329,67,57,70,75,60,370,71,76,75,73,75
Antony Silva,101,19,12,20,38,12,90,16,16,12,21,25
Costel Pantilimon,97,19,11,16,38,13,100,15,15,12,36,22
Gianluca Lapadula,334,50,74,72,64,74,315,72,68,69,34,72
Mateus Pasinato,63,14,6,13,21,9,73,9,14,11,21,18
Floyd Ayité,323,65,68,58,68,64,341,72,66,67,63,73
Gōtoku Sakai,281,67,48,60,67,39,338,67,74,64,66,67
José Ángel Pozo la Rosa,338,65,70,57,77,69,355,75,65,64,75,76
Bandar Al Ahbabi,306,76,54,54,67,55,341,70,74,65,64,68
Wesley Fofana,238,39,29,72,65,33,246,59,32,33,59,63
Noah Okafor,329,69,68,63,68,61,329,76,72,43,64,74
Dong Won Ji,330,54,69,78,65,64,331,75,67,62,54,73
Mevlüt Erdinç,335,56,74,72,65,68,323,67,60,70,55,71
Michael Morrison,228,25,37,78,56,32,214,29,38,37,56,54
Hosam Aiesh,276,68,56,36,65,51,297,79,56,43,48,71
Erick Aguirre,278,68,41,55,72,42,294,68,45,41,70,70
Smail Prevljak,334,62,75,62,63,72,321,68,64,59,57,73
Felipe Carballo,306,60,58,61,77,50,338,65,65,68,69,71
Randy Nteka,325,54,68,69,70,64,304,70,57,44,62,71
Holger Badstuber,300,64,35,76,75,50,313,45,64,61,76,67
Jack Hunt,275,73,47,59,64,32,293,68,70,29,60,66
Armando Méndez,255,66,48,44,66,31,242,56,31,29,64,62
Germán Lanaro,209,29,15,72,69,24,214,40,25,24,69,56
Patrick Twumasi,313,68,69,42,68,66,302,72,52,43,65,70
Paul Baysse,273,59,40,77,68,29,276,62,56,36,64,58
Álvaro José Jiménez Guerrero,321,70,67,48,67,69,324,70,74,49,63,68
Alexander Büttner,330,76,58,65,71,60,360,71,73,71,72,73
Luca Caldirola,275,62,28,74,70,41,292,59,51,51,66,65
Pol Mikel Lirola Kosok,310,76,40,64,72,58,319,74,73,30,68,74
César Fuentes,288,57,54,68,72,37,295,59,48,54,70,64
Sebastián Ferreira,309,41,76,68,66,58,313,75,57,59,52,70
Omar Gonzalez,244,35,31,75,57,46,219,37,36,27,64,55
Anthony Losilla,313,53,52,72,72,64,306,70,52,47,63,74
Jack Byrne,306,69,66,49,70,52,348,72,72,66,67,71
Moussa Konaté,334,60,71,76,62,65,278,71,46,55,36,70
Diego Ângelo de Oliveira,294,69,52,77,68,28,319,50,63,77,69,60
Bruno Uvini Bortolança,216,19,37,74,61,25,237,46,42,39,53,57
Guillaume Gillet,334,60,65,72,69,68,337,66,67,65,68,71
Jon Ander Garrido Moracia,234,41,32,60,67,34,264,50,41,49,62,62
Lazar Ranđelović,326,72,67,54,72,61,322,69,66,46,70,71
Anderson Julio,294,70,65,44,65,50,308,74,61,54,50,69
Elson Ferreira de Souza,307,73,58,57,68,51,339,72,59,63,71,74
Paulao Paulo Junqueiras Couto,320,34,77,76,62,71,273,63,59,46,38,67
Arnór Sigurðsson,317,67,71,39,72,68,310,73,56,39,69,73
Tendayi Darikwa,263,63,45,52,64,39,288,68,57,43,54,66
Gustavo Rafael Outomouro Tófoli,349,62,74,67,73,73,337,70,71,60,62,74
Ola John,317,74,60,49,74,60,357,77,71,69,64,76
Orestis Kiomourtzoglou,253,37,44,66,70,36,266,56,42,39,61,68
Daniel Martins Guimarães,74,11,9,15,31,8,90,14,16,19,20,21
Ebenezer Ofori,280,58,50,39,74,59,334,73,65,49,74,73
Sebastiano Luperto,293,65,45,71,67,45,266,56,47,42,58,63
Jan Gyamerah,256,63,40,59,68,26,296,69,61,34,60,72
Gianni Bruno,339,65,71,73,68,62,335,74,63,71,55,72
Billel Omrani,338,72,72,70,70,54,324,73,49,69,63,70
Amir Abrashi,243,49,47,38,64,45,275,58,51,45,58,63
Clayton Fábio Fildeiras Cachoeira,315,56,66,62,75,56,357,72,71,74,65,75
Anthony D'Alberto,254,68,28,57,67,34,287,66,60,39,54,68
Bruno Ricardo Valdez Wilson,241,35,21,72,62,51,218,43,30,32,52,61
Marko Pajač,321,72,64,59,72,54,351,73,69,68,71,70
Bengali-Fodé Koita,324,62,70,67,65,60,293,74,52,42,52,73
Andrew Hughes,256,63,35,68,63,27,298,55,44,71,64,64
Manuel Reina Rodríguez,73,8,10,12,30,13,98,12,20,12,36,18
Irvin Cardona,340,56,74,63,71,76,331,76,65,58,58,74
Vincent Sasso,236,47,22,73,68,26,232,48,37,26,62,59
Lucas Höler,319,45,74,75,56,69,245,57,50,38,41,59
Lucas Eduardo dos Santos João,315,47,71,70,62,65,281,74,52,34,49,72
Jean Butez,92,14,17,20,24,17,95,25,13,14,17,26
Viðar Örn Kjartansson,306,35,76,70,58,67,272,62,56,56,35,63
Majeed Ashimeru,294,64,62,41,72,55,321,73,57,48,70,73
Pasquale Schiattarella,320,63,60,60,76,61,342,72,65,58,71,76
Juan Manuel García,303,37,73,77,55,61,253,63,43,37,45,65
Frederik Sørensen,240,53,18,74,69,26,263,62,48,26,65,62
Francisco Jiménez Tejada,340,49,80,79,59,73,283,58,56,58,37,74
Renaud Emond,338,48,79,75,64,72,287,60,64,66,33,64
Hakan Özmert,334,69,63,67,75,60,360,66,73,77,74,70
Maurício de Carvalho António,245,35,38,76,66,30,271,51,45,55,68,52
Olcay Şahan,329,64,66,57,69,73,347,74,72,64,65,72
James McClean,333,74,66,67,67,59,345,74,68,66,65,72
Famara Diedhiou,307,33,73,78,60,63,256,66,53,33,35,69
Martin Olsson,316,70,55,60,66,65,328,68,66,59,65,70
Yassine Benrahou,301,64,59,46,73,59,357,75,69,72,66,75
Bakaye Dibassy,297,70,48,67,68,44,283,66,54,30,64,69
Michaël Cuisance,328,79,59,49,78,63,382,75,85,75,73,74
Mitchell Donald,326,52,63,65,77,69,323,72,55,50,72,74
Will Vaulks,295,64,56,68,65,42,296,62,42,56,69,67
Cheick Traoré,283,69,40,66,69,39,302,72,59,38,63,70
Vital Nsimba,289,69,58,46,67,49,305,69,66,42,59,69
Juan Álvarez,278,63,62,38,67,48,304,74,54,42,62,72
Tomáš Hořava,323,64,63,57,73,66,345,72,68,59,72,74
Joe Aribo,305,65,64,51,73,52,346,76,66,59,70,75
Nick Powell,321,59,71,64,68,59,330,71,64,55,66,74
Darnell Furlong,264,68,35,72,59,30,280,68,48,36,57,71
Carleto Adilson Costinha Caldeira,323,72,68,47,75,61,352,71,71,73,63,74
Stefan Marinović,106,11,17,26,34,18,98,15,14,19,35,15
Bakery Jatta,320,69,70,55,67,59,297,73,57,49,54,64
Fousseni Diabaté,322,63,68,62,64,65,289,77,43,38,56,75
Gabriel Paletta,203,30,16,73,54,30,241,48,48,35,58,52
Mark Gillespie,86,13,16,11,34,12,108,17,12,15,35,29
Marc Stendera,328,71,71,47,73,66,373,74,83,70,71,75
Adama Traoré,317,71,57,57,76,56,367,75,73,72,72,75
Denis Linsmayer,263,52,45,63,71,32,293,62,51,47,68,65
Tsukasa Morishima,314,70,67,49,72,56,351,70,68,70,71,72
Mohamed Fouzair,277,64,62,34,68,49,353,76,68,72,65,72
Ewerton José Almeida Santos,265,48,30,71,67,49,252,54,37,40,61,60
Alejandro Chumacero,337,70,61,56,71,79,345,70,63,66,72,74
Raïs M'Bolhi,94,13,10,12,45,14,94,10,13,13,42,16
Yuri de Souza Fonseca,337,58,77,64,63,75,318,70,74,61,44,69
Hanchao Yu,328,69,64,64,72,59,333,71,62,64,64,72
Wes Foderingham,97,21,13,20,30,13,108,12,20,14,34,28
Kevin Bua,297,68,65,39,66,59,319,72,60,55,59,73
Ricardo Jorge Vaz Tê,342,64,71,76,66,65,320,68,67,57,58,70
Mohamed Simakan,250,53,27,75,67,28,255,59,43,32,58,63
Jeremy Dudziak,314,71,58,55,72,58,354,76,70,62,72,74
Jesús Jiménez Núñez,308,66,69,54,68,51,308,72,63,42,61,70
Torgeir Børven,330,56,74,70,62,68,303,65,62,64,42,70
Rafael Garcia Tonioli Defendi,81,15,10,10,32,14,85,11,12,18,20,24
Arturo Mina,247,43,30,76,68,30,233,47,27,41,57,61
Carl Jenkinson,300,71,41,62,66,60,311,67,60,52,64,68
Charles Marcelo da Silva,86,12,13,20,22,19,94,20,19,13,18,24
Javier García,61,11,11,12,13,14,64,11,13,13,12,15
Simone Iacoponi,243,56,28,66,56,37,205,40,48,12,40,65
Rául Fernández,66,20,10,10,16,10,96,10,15,14,32,25
Bit Garam Yoon,316,62,61,54,75,64,347,67,66,70,78,66
Rick van Drongelen,239,46,20,72,66,35,266,47,44,50,65,60
Brad Guzan,83,16,14,12,26,15,102,14,15,11,34,28
Leke James,326,60,72,70,59,65,264,69,52,36,34,73
Thiago Claudnei Almeida Reis,331,72,72,61,62,64,343,75,68,71,55,74
Hamed Junior Traorè,331,66,66,62,73,64,350,76,68,64,68,74
Boško Šutalo,237,58,25,65,64,25,207,47,26,22,57,55
Federico Marchetti,90,13,17,12,36,12,92,11,14,12,35,20
Stole Dimitrievski,83,11,20,14,23,15,98,18,17,17,27,19
Juan Pablo Añor,323,73,66,52,72,60,359,71,69,77,70,72
Jérémy Doku,277,64,61,37,66,49,291,80,58,38,42,73
Konstantin Kuchaev,300,67,62,52,70,49,315,70,58,52,64,71
Jordan Sierra,311,65,60,47,73,66,316,69,58,50,69,70
Dmitriy Zhivoglyadov,270,69,48,59,63,31,310,68,70,52,52,68
Krisztián Vadócz,310,55,61,64,71,59,319,59,62,60,68,70
Luisinho Lúcio Conradi Andrade,303,72,54,52,66,59,344,75,74,51,68,76
Haris Medunjanin,323,66,61,51,80,65,380,73,80,78,75,74
Lukáš Haraslín,313,66,63,59,67,58,332,72,68,54,66,72
Sekou Koita,314,54,74,53,64,69,317,75,59,58,52,73
Osama Rashid,310,68,58,45,73,66,373,72,80,77,70,74
Mohammed Al Owais,93,14,20,20,27,12,89,14,16,16,26,17
Peter Žulj,332,69,65,58,74,66,361,71,72,72,72,74
Sebastian Jung,293,75,42,60,72,44,324,68,68,45,71,72
Hanno Behrens,335,54,67,80,72,62,296,67,52,40,67,70
Ante Palaversa,300,65,48,62,76,49,322,71,51,54,72,74
Ernesto Torregrossa,312,44,74,70,62,62,291,64,55,54,49,69
Andoni Gorosabel Espinosa,278,68,38,66,67,39,277,60,58,33,58,68
Anthony Ujah,321,49,71,80,61,60,289,70,55,44,54,66
Yuya Kubo,308,64,65,51,70,58,351,75,70,71,61,74
Dillon Phillips,97,19,15,12,32,19,105,21,19,20,18,27
Walter Elias Silvieiro Borges,346,60,77,70,65,74,310,63,68,61,51,67
Oscar Jiménez,83,14,13,19,25,12,108,15,13,25,31,24
Paolo Bartolomei,327,66,59,59,77,66,351,72,63,71,71,74
Efrén Mera,299,59,69,43,69,59,349,72,74,58,65,80
Prince Oniangué,321,50,66,77,68,60,332,65,67,65,66,69
Musashi Suzuki,313,54,74,58,65,62,271,72,55,38,36,70
Josué Durval da Feira Cunha,345,60,75,69,65,76,329,68,65,58,61,77
John Boye,228,48,36,77,56,11,214,54,36,16,50,58
Harry Arter,316,62,63,53,75,63,345,68,64,70,72,71
Ivan Santini,326,33,76,79,63,75,272,59,39,66,44,64
Mauricio Pinilla,336,51,72,79,59,75,303,64,63,65,45,66
Romell Quioto,327,73,66,70,69,49,338,73,72,69,55,69
Eduardo Antônio Machado Teixeira,325,68,63,53,76,65,359,74,72,66,71,76
Leart Paqarada,276,75,36,56,68,41,354,67,76,73,67,71
Fredrik Jensen,334,68,68,56,72,70,314,75,61,40,63,75
Kasim Adams Nuhu,274,42,36,71,66,59,256,53,45,31,68,59
Julio Barroso,272,51,36,74,65,46,252,43,25,55,64,65
Aleksandr Zhirov,213,30,26,76,52,29,190,45,32,29,51,33
Matt Clarke,246,45,30,73,62,36,257,64,36,36,60,61
Clifford Aboagye,291,66,51,42,78,54,361,74,73,62,75,77
Yusuf Erdoğan,314,64,64,54,61,71,353,74,81,71,54,73
Cristopher Toselli,118,20,20,17,41,20,118,16,18,19,32,33
Ladislav Krejčí,292,51,53,67,70,51,303,64,55,51,67,66
Isaac Kiese Thelin,328,46,71,77,69,65,275,65,48,35,59,68
Jake Cooper,224,27,30,79,56,32,221,47,27,28,61,58
Gil Alcalá,93,18,17,18,24,16,84,13,13,17,22,19
Tomáš Kalas,252,51,38,73,66,24,228,61,25,18,60,64
Maximilian Wittek,315,78,56,58,67,56,350,66,80,78,57,69
Mauricio Cuero,316,76,63,53,60,64,301,75,65,33,58,70
Hugo Rodríguez,264,44,41,72,62,45,248,52,39,42,57,58
Aitor Sanz Martín,290,64,54,42,75,55,347,65,72,70,71,69
Sebastian Schonlau,245,40,39,67,68,31,242,50,34,42,58,58
Simon Hedlund,301,66,65,44,67,59,325,74,68,59,52,72
Fernando Dos Santos Pedro,266,62,64,36,66,38,298,78,64,38,42,76
Adrián Ortolá Vaño,104,19,14,16,45,10,142,18,30,18,48,28
Bryan Acosta,295,56,62,63,70,44,328,64,49,73,74,68
Bauyrzhan Islamkhan,303,68,57,47,75,56,354,72,71,65,75,71
Aden Flint,241,21,51,80,51,38,185,33,24,25,51,52
Benjamin Tetteh,311,43,70,75,61,62,264,73,41,26,52,72
Alexandre Reis Pinto,263,62,38,51,64,48,285,66,61,34,55,69
Mohamed Kanno,328,66,66,67,73,56,323,71,56,52,69,75
Marcel Risse,335,75,71,52,70,67,361,70,75,74,70,72
Pedro Miguel Lopes Pereira,271,70,35,60,69,37,289,69,50,35,64,71
Andreas Vindheim,296,72,51,61,61,51,310,67,67,51,57,68
Abdallah Gomaa,283,67,54,50,66,46,314,71,64,53,56,70
Martin Fraisl,101,20,15,20,33,13,109,19,20,17,27,26
Jonathan Bottinelli,276,55,35,74,72,40,269,60,43,38,66,62
Przemysław Frankowski,309,66,65,57,68,53,311,68,63,48,67,65
Nicolai Boilesen,304,70,45,66,69,54,303,68,61,40,65,69
Isaac Success,329,73,67,64,68,57,318,77,56,54,55,76
Koray Günter,221,32,23,69,69,28,240,56,21,26,72,65
Emre Taşdemir,303,68,57,54,64,60,351,74,75,65,65,72
Sergio Floccari,339,56,74,75,68,66,318,71,66,60,48,73
Ailton Nuno Cardenhas Macedo,82,10,10,30,20,12,84,12,16,16,17,23
Andrey Eschenko,301,71,61,66,64,39,296,58,50,49,70,69
Fernando Manuel Ferreira Fonseca,259,66,35,57,66,35,289,69,60,38,54,68
Yacine Adli,330,66,65,62,75,62,363,75,69,74,69,76
Milan Škoda,347,59,71,80,66,71,294,67,55,47,53,72
Jean-Armel Kana-Biyik,216,36,20,70,60,30,215,56,24,19,57,59
Fabrício Santos de Jesus,264,51,51,53,69,40,274,61,44,41,60,68
Wiliam Carlos Santoso Sampaio,55,8,8,10,20,9,71,9,8,17,16,21
Francesco Vicari,218,32,21,69,66,30,200,36,23,28,57,56
Ragnar Sigurðsson,235,43,30,72,65,25,229,37,44,34,61,53
Vincent Koziello,316,71,60,49,73,63,337,71,71,54,71,70
Julián Álvarez,340,68,70,65,70,67,356,70,75,73,66,72
Steven Moreira,258,69,26,56,72,35,266,63,43,29,67,64
Ager Aketxe Barrutia,319,75,68,40,76,60,387,69,84,89,75,70
Fernando Monetti,128,19,19,23,48,19,133,19,23,13,42,36
Kirill Nababkin,287,65,60,65,65,32,288,56,52,46,71,63
Søren Rieks,324,65,68,56,69,66,338,72,74,59,61,72
Mariusz Stępiński,326,51,71,73,68,63,280,71,51,34,54,70
Kento Misao,271,64,40,56,71,40,315,71,58,44,69,73
Michał Pazdan,255,47,35,66,66,41,265,47,48,41,64,65
Caleb Ekuban,337,68,68,69,66,66,320,74,72,50,52,72
